Word	POS
Наш	DET
основной	ADJ
разыгрывающий	NOUN
Вадим	PROPN
Хамуцких	PROPN
повредил	VERB
палец	NOUN
и	CONJ
отправился	VERB
на	ADP
скамейку	NOUN
запасных	NOUN
.	PUNCT
Штирлиц	PROPN
шел	VERB
по	ADP
лесу	NOUN
и	CONJ
увидел	VERB
голубые	ADJ
ели	VERB
.	PUNCT
Что	PRON
кинул	VERB
он	PRON
в	ADP
краю	NOUN
родном	ADJ
?	PUNCT
Что	PART
ж	PART
,	PUNCT
это	PRON
классика	NOUN
,	PUNCT
господа	NOUN
!	PUNCT
И	CONJ
сколько	ADV
бы	PART
режиссеры	NOUN
сериалов	NOUN
не	PART
пытались	VERB
«	PUNCT
переплюнуть	VERB
»	PUNCT
Рязанова	PRON
,	PUNCT
у	ADP
них	PRON
это	PRON
не	PART
получится	VERB
.	PUNCT
―	PUNCT
Что	ADV
ты	PRON
всё	ADV
думаешь	VERB
о	ADP
себе	PRON
?	PUNCT
―	PUNCT
спрашивает	VERB
жена	NOUN
.	PUNCT
Между	ADP
блюдом	NOUN
майонеза	NOUN
и	CONJ
жарким	NOUN
ставятся	VERB
по	ADP
две	NUM
кучки	NOUN
тарелок	NOUN
для	ADP
жаркого	NOUN
.	PUNCT
В	ADP
Эстонии	PROPN
―	PUNCT
эстонский	ADJ
для	ADP
русских	NOUN
,	PUNCT
русский	ADJ
для	ADP
эстонцев	NOUN
.	PUNCT
Всемогущий	ADJ
Горшков	PROPN
обещал	VERB
«	PUNCT
устроить	VERB
»	PUNCT
ее	PRON
на	ADP
прямой	ADJ
поезд	NOUN
,	PUNCT
следующий	PRTF
через	ADP
станцию	NOUN
Семеновка	PROPN
,	PUNCT
а	CONJ
там	ADV
и	CONJ
до	ADP
поселка	NOUN
рукой	NOUN
подать	VERB
:	PUNCT
всего	ADJ
двадцать	NUM
пять	NUM
километров	NOUN
.	PUNCT
А	CONJ
прыгать	VERB
туда	ADV
нельзя	ADV
,	PUNCT
ща	ADV
поезд	NOUN
следующий	ADJ
проедет	VERB
,	PUNCT
вон	PRON
расписание	NOUN
.	PUNCT
Поздно	ADV
вечером	ADV
подруги	NOUN
собирались	VERB
у	ADP
невесты	NOUN
для	ADP
завивки	NOUN
ей	PRON
волос	NOUN
,	PUNCT
чтобы	CONJ
подготовить	VERB
причёску	NOUN
к	ADP
венцу	NOUN
Буду	VERB
сидеть	VERB
,	PUNCT
курить	VERB
,	PUNCT
наслаждаться	VERB
весенним	ADJ
утром	NOUN
,	PUNCT
свежим	ADJ
воздухом	NOUN
и	CONJ
молодою	ADJ
пахучею	ADJ
зеленью	NOUN
недавно	ADV
распустившихся	PRTF
деревьев	NOUN
Жарко	ADJ
в	ADP
небе	NOUN
солнце	NOUN
летнее	ADJ
.	PUNCT
Я	PRON
плакала	VERB
и	CONJ
жарко	ADV
молилась	VERB
.	PUNCT
А	CONJ
я	PRON
иду	VERB
к	ADP
тебе	PRON
навстречу	VERB
,	PUNCT
и	CONJ
я	PRON
несу	VERB
тебе	PRON
цветы	NOUN
.	PUNCT
Все	DET
полевые	ADJ
цветы	NOUN
тянутся	VERB
навстречу	ADP
солнцу	NOUN
.	PUNCT
Она	PRON
помолилась	VERB
и	CONJ
теперь	ADV
,	PUNCT
бла­годаря	GRND
Бога	NOUN
за	ADP
избавление	NOUN
,	PUNCT
вернулась	VERB
к	ADP
себе	PRON
.	PUNCT
Благодаря	ADP
отцу	NOUN
я	PRON
и	CONJ
сестры	NOUN
знаем	VERB
французский	ADJ
,	PUNCT
немецкий	ADJ
и	CONJ
английский	ADJ
языки	NOUN
.	PUNCT
Три	NUM
дня	NOUN
не	PART
переставая	GRND
шел	VERB
дождь	NOUN
.	PUNCT
Хорошенько	ADV
три	VERB
паркет	NOUN
щеткой	NOUN
!	PUNCT
Пила	NOUN
раза	NOUN
два	NUM
выпрыгнула	VERB
,	PUNCT
меняя	GRND
место	NOUN
,	PUNCT
словно	CONJ
ей	PRON
было	VERB
неулёжно	ADV
,	PUNCT
потом	ADV
въелась	VERB
и	CONJ
пошла	VERB
.	PUNCT
Год	NOUN
назад	ADV
я	PRON
не	PART
пила	VERB
кофе	NOUN
после	ADP
обеда	NOUN
.	PUNCT
Печь	NOUN
нужна	PRTF
,	PUNCT
чтобы	CONJ
печь	NOUN
в	ADP
ней	PRON
пирожки	NOUN
.	PUNCT
