word	meaning
лист	Тонкая зеленая пластинка различной формы на черенке (орган воздушного питания и газообмена у растения)
лист	Тонкий, плотный кусок или пласт какого-л. материала
лист	Единица измерения, применяемая в издательском и полиграфическом деле, разного характера в зависимости от того, что измеряется
лист	Документ, удостоверяющий что-л. или содержащий какое-л. предписание.
номер	орядковое число предмета в ряду других однородных.
номер	Планка, ярлык с изображением какой-л. цифры (как документ, знак регистрации и т. п.).
номер	Какой-л. предмет, обозначенный определенным порядковым числом.
номер	Отдельное помещение в гостинице, бане и т. п.
номер	Отдельно исполняемая часть представления, концерта и т. п.
номер	Боец орудийного, пулеметного и т. п. расчета.
звезда	Небесное тело, состоящее из раскаленных газов (плазмы), по своей природе сходное с Солнцем и представляющееся взору человека на ночном небе светящейся точкой.
звезда	О человеке, прославившемся в какой-л. сфере деятельности; о знаменитости.
звезда	Геометрическая фигура с остроконечными выступами, равномерно расположенными по окружности; фигура с лучами, исходящими от центра.
среда	Вещество, заполняющее какое-л. пространство и обладающее определенными свойствами.
среда	Совокупность природных или социальных условий, в которых протекает жизнедеятельность какого-л. организма.
среда	Социально-бытовая обстановка, в которой протекает жизнь человека; окружение.
среда	Третий (после воскресенья) день недели (середина недели).
клетка	Помещение для птиц и животных со стенками из металлических или деревянных прутьев.
клетка	Способ укладки некоторых материалов (бревен, дров, кирпича и т. п.) в виде четырехугольника параллельными рядами крест-накрест.
клетка	Квадрат, а также всякий другой четырехугольник, изображенный на поверхности чего-л.
клетка	Простейшая единица строения живого организма, состоящая из протоплазмы, ядра и оболочки.
